5,cpx_0_0_0,cpx_0_1_0,cpx_1_0_0,cpx_1_0_1,cpx_1_1_0
num_nodes_300_seed_10_time_limit_60.00,62.61,60.29,27.58,14.17,14.05
num_nodes_300_seed_11_time_limit_60.00,68.33,68.43,24.59,12.1,11.9
num_nodes_300_seed_1_time_limit_60.00,29.5,27.88,21.99,10.77,19.6
num_nodes_300_seed_2_time_limit_60.00,34.62,41.5,14.71,5.56,14.73
num_nodes_300_seed_3_time_limit_60.00,16.22,20.03,15.77,7.62,14.19
num_nodes_300_seed_4_time_limit_60.00,48.46,47.19,40.22,17.07,24.72
num_nodes_300_seed_5_time_limit_60.00,25.51,24.83,14.44,9.31,13.38
num_nodes_300_seed_6_time_limit_60.00,13.84,16.22,21.27,10.22,14.96
num_nodes_300_seed_7_time_limit_60.00,11.47,12.01,14.34,9.05,14.85
num_nodes_300_seed_8_time_limit_60.00,16.7,20.77,13.97,13.62,11.62
num_nodes_300_seed_9_time_limit_60.00,11.27,14.41,10.53,6.26,8.65
