8,vns_0.001_2,vns_0.001_4,vns_0.001_6,vns_0.001_8,vns_0.010_2,vns_0.010_4,vns_0.010_6,vns_0.010_8
num_nodes_1000_seed_2040_time_limit_60.00,240539.13,240178.91,241140.1,241706.67,240840.92,241874.08,241422.37,240122.67
num_nodes_1000_seed_2041_time_limit_60.00,239309.37,238532.77,239082.85,239270.45,239587.32,238962.82,239033.04,241999.54
num_nodes_1000_seed_2042_time_limit_60.00,239305.01,239541.78,239134.26,240529.38,242021.13,240933.76,241331.28,243654.9
num_nodes_1000_seed_2043_time_limit_60.00,239317.96,240296.58,237794.48,240238.35,239348.19,239779.51,241104.8,240782.56
num_nodes_1000_seed_2044_time_limit_60.00,243197.44,243014.17,243702.43,242951.52,242958.83,244064.39,242267.98,243930.45
num_nodes_1000_seed_2045_time_limit_60.00,239723.43,237592.4,239867.07,238764.54,236646.05,238003.16,239878.98,239654.95
num_nodes_1000_seed_2046_time_limit_60.00,241271.63,244056.44,240946.39,241246.77,242748.19,239419.23,242332.2,242890.25
num_nodes_1000_seed_2047_time_limit_60.00,240379.51,241561.01,242742.66,240896.33,241599.76,243868.27,239723.58,244020.7
num_nodes_1000_seed_2048_time_limit_60.00,239628.85,239124.05,238827.88,237062.43,238541.05,239884.86,239197.35,239030.72
num_nodes_1000_seed_2049_time_limit_60.00,236304.32,235588.89,236931.92,237518.28,238491.19,238297.3,236267.87,238558.24
num_nodes_1000_seed_2050_time_limit_60.00,241743.56,243623.35,243374.91,242434.84,242174.64,242796.02,243145.79,242170.32
num_nodes_1000_seed_2051_time_limit_60.00,240355.87,239810.78,239360.23,239438.93,240789.43,240619.83,240567.26,238936.41
num_nodes_1000_seed_2052_time_limit_60.00,238988.67,240551.46,239863.73,239434.11,239130.34,240427.96,240757.62,241127.67
num_nodes_1000_seed_2053_time_limit_60.00,241482.44,241035.57,242143.34,240253.1,241740.14,241280.59,241406.84,242391.3
num_nodes_1000_seed_2054_time_limit_60.00,238128.17,238013.51,238398.81,238742.37,237049.07,237043.28,238303.83,239268.09
num_nodes_1000_seed_2055_time_limit_60.00,238643.82,238322.17,238090.29,237147.67,237667.68,239579.63,240050.94,241893.37
num_nodes_1000_seed_2056_time_limit_60.00,235803.47,236233.44,236745.87,236135.46,235101.42,239246.31,236139.95,236590.38
num_nodes_1000_seed_2057_time_limit_60.00,242563.45,242521.89,242027.77,241405.63,244302.92,242866.78,244825.3,241548.4
num_nodes_1000_seed_2058_time_limit_60.00,243907.07,244403.0,242197.36,244509.19,244271.07,244209.99,243542.99,243102.02
num_nodes_1000_seed_2059_time_limit_60.00,240791.79,238860.72,237613.24,240341.52,240227.81,237873.45,240125.68,237423.94
